"seqn","acd010a","acd010b","acd010c","acq020","acq030","acd040","acq050","acq060","acd070","acd080"
9966,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9967,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9968,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9969,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9970,NA,NA,NA,4,5,4,5,5,1,1
9971,NA,NA,NA,4,4,4,5,5,2,2
9972,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9973,NA,NA,NA,5,3,5,5,5,1,1
9974,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9975,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9976,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9978,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9979,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
9980,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9981,NA,NA,NA,2,1,1,1,1,5,5
9982,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9984,NA,NA,NA,3,2,3,2,2,4,4
9988,NA,NA,NA,2,1,1,2,1,4,4
9990,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9993,NA,NA,NA,4,1,3,4,3,4,4
9997,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9999,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10000,1,NA,3,NA,NA,NA,NA,NA,NA,NA
10001,NA,NA,NA,1,1,1,1,1,4,4
10002,NA,NA,NA,3,3,3,5,5,5,5
10003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006,NA,NA,NA,5,5,5,5,5,1,1
10007,NA,NA,NA,3,2,3,3,3,1,1
10011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10012,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10013,NA,NA,NA,4,3,2,3,3,1,1
10014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10015,1,NA,3,NA,NA,NA,NA,NA,NA,NA
10017,NA,NA,NA,1,1,1,1,1,4,4
10018,NA,NA,NA,5,5,5,5,5,1,1
10019,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10020,NA,NA,NA,1,1,1,1,1,4,4
10021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10023,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10024,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10025,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10029,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10030,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10031,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10033,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10034,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10035,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10036,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10037,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10039,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
