"seqn","cbd071","cbd091","cbd111","cbd121","cbd131"
93871,200,0,45,150,0
93872,NA,NA,NA,NA,NA
93873,857,171,100,200,200
93874,400,80,300,85,85
93875,179,0,100,150,128
93876,1457,0,90,180,0
93877,600,171,128,0,50
93878,175,0,20,10,5
93879,100,0,10,30,0
93880,0,0,1285,214,0
93881,0,0,800,999999,999999
93882,200,0,50,150,50
93883,350,0,100,50,70
93884,150,0,200,150,120
93885,800,0,200,300,0
93886,100,30,0,0,0
93887,50,20,20,4,0
93888,1100,200,100,250,0
93889,150,15,0,40,0
93890,400,80,150,300,50
93891,857,0,999999,999999,999999
93892,250,0,0,0,0
93893,500,50,50,214,25
93894,200,40,999999,45,10
93895,400,40,50,400,60
93896,800,50,30,200,80
93897,75,0,50,25,20
93898,550,0,20,50,0
93899,300,100,40,200,60
93900,300,0,100,150,0
93901,750,0,100,100,40
93902,999999,999999,999999,999999,0
93903,0,0,35,30,0
93904,400,0,200,80,80
93905,800,0,100,800,0
93906,550,100,400,300,0
93907,300,0,150,100,0
93908,150,0,100,100,214
93909,400,0,50,100,0
93910,NA,NA,NA,NA,NA
93911,500,0,100,400,100
93912,NA,NA,NA,NA,NA
93913,500,100,214,642,214
93914,1000,0,0,800,60
93915,550,75,150,150,70
93916,500,0,300,100,50
93917,420,0,80,100,0
93918,0,0,1285,0,30
93919,200,0,700,0,100
93920,300,0,100,300,0
93921,600,0,50,60,0
93922,428,0,557,278,0
93923,NA,NA,NA,NA,NA
93924,250,10,0,35,0
93925,500,25,150,20,0
93926,514,128,428,300,40
93927,800,0,0,0,0
93928,857,0,0,214,0
93929,300,100,300,150,100
93930,NA,NA,NA,NA,NA
93931,700,0,0,56,0
93932,500,0,500,500,200
93933,500,60,0,0,0
93934,400,30,75,171,0
93935,250,0,40,40,30
93936,210,10,0,50,50
93937,500,80,50,200,0
93938,400,100,200,300,0
93939,150,0,20,100,50
93940,800,0,100,200,75
93941,1100,200,100,250,0
93942,450,0,150,642,50
93943,428,107,0,64,0
93944,400,80,200,150,30
93945,60,0,40,20,0
93946,250,60,50,128,85
93947,214,0,214,100,0
93948,800,0,200,300,0
93949,400,0,200,200,100
93950,300,0,0,420,0
93951,300,0,50,100,30
93952,0,0,373,50,0
93953,200,0,100,150,0
93954,428,0,300,642,171
93955,100,0,0,20,0
93956,600,0,400,428,321
93957,600,0,300,300,0
93958,857,0,171,85,107
93959,150,0,0,50,30
93960,300,150,30,0,25
93961,150,0,0,200,0
93962,857,0,857,642,214
93963,60,0,213,25,0
93964,600,0,300,100,30
93965,342,0,128,100,50
93966,400,NA,150,100,0
93967,500,100,150,200,40
93968,100,0,70,30,0
93969,40,15,10,10,0
93970,257,0,214,342,0
93971,500,0,0,120,60
93972,942,214,100,214,100
93973,857,0,0,0,0
93974,360,0,0,96,0
93975,500,150,150,400,100
93976,428,171,125,300,100
93977,NA,NA,NA,NA,NA
93978,120,0,0,150,0
93979,600,0,30,400,100
93980,300,100,50,857,0
93981,NA,NA,NA,NA,NA
93982,200,0,0,15,0
93983,400,50,100,50,0
93984,428,85,200,0,30
93985,642,0,428,0,0
93986,128,0,642,50,20
93987,750,0,100,100,40
93988,600,0,0,100,0
93989,600,50,100,642,0
93990,200,0,0,200,0
93991,NA,NA,NA,NA,NA
93992,500,0,200,500,50
93993,100,0,30,60,20
93994,900,200,50,100,40
93995,800,100,400,1000,200
93996,1071,0,0,728,0
93997,1071,0,0,30,10
93998,0,0,600,50,0
93999,200,0,75,350,0
94000,450,280,100,600,75
94001,NA,NA,NA,NA,NA
94002,250,85,64,150,30
94003,75,50,25,40,20
94004,300,40,500,75,30
94005,640,110,428,120,100
94006,1000,200,0,300,100
94007,120,0,80,0,25
94008,1285,0,0,0,0
94009,857,214,428,642,0
94010,100,0,300,0,0
94011,600,100,0,300,100
94012,200,55,0,100,0
94013,600,0,321,140,0
94014,1000,100,200,300,0
94015,500,150,100,100,0
94016,400,0,200,75,0
94017,800,200,200,214,128
94018,0,0,900,160,0
94019,300,100,50,150,0
94020,600,15,80,200,0
94021,180,0,0,20,0
94022,642,0,0,150,64
94023,150,0,0,50,0
94024,300,0,150,80,0
94025,500,0,0,200,0
94026,NA,NA,NA,NA,NA
94027,514,85,120,85,0
94028,500,0,0,300,50
94029,500,100,50,200,20
94030,500,0,100,200,50
94031,60,0,15,50,64
94032,500,50,342,214,171
94033,642,214,300,300,0
94034,428,0,574,65,0
94035,650,0,0,0,0
94036,800,300,300,0,15
94037,500,0,0,214,0
94038,300,0,214,220,0
94039,800,0,170,300,0
94040,NA,NA,NA,NA,NA
94041,600,40,100,300,100
94042,200,0,150,40,25
94043,500,0,0,642,107
94044,642,0,642,857,128
94045,80,0,0,100,0
94046,400,0,0,40,0
94047,450,150,200,200,0
94048,100,10,0,25,0
94049,200,0,150,60,30
94050,250,0,60,0,0
94051,385,42,20,12,0
94052,325,0,325,0,0
94053,1000,0,200,100,0
94054,700,0,150,75,30
94055,450,0,171,60,50
94056,800,0,50,400,100
94057,160,30,25,0,20
94058,214,0,100,10,0
94059,300,0,170,0,50
94060,300,45,289,70,0
94061,100,0,300,0,0
94062,857,128,0,514,0
94063,450,0,150,20,0
94064,400,50,0,100,0
94065,100,30,0,25,20
94066,800,0,150,100,30
94067,220,100,1071,428,0
94068,100,85,0,200,0
94069,450,50,0,60,0
94070,400,0,120,200,0
94071,500,0,100,100,0
94072,0,0,500,60,0
94073,30,0,514,0,8
94074,214,100,75,300,100
94075,540,0,30,100,0
94076,600,100,50,171,128
94077,200,60,0,20,0
94078,NA,NA,NA,NA,NA
94079,500,0,300,214,214
94080,0,0,400,30,90
94081,750,200,0,400,60
94082,857,321,0,100,0
94083,0,0,857,85,0
94084,300,0,150,0,0
94085,90,0,40,25,15
94086,385,20,0,0,0
94087,60,0,40,70,40
94088,800,100,200,200,0
94089,350,0,100,15,15
94090,200,0,50,400,200
94091,428,0,428,428,0
94092,300,0,0,342,0
94093,857,0,0,300,0
94094,525,125,0,75,0
94095,60,0,0,0,0
94096,999999,999999,999999,100,100
94097,500,150,100,100,0
94098,300,0,0,0,200
94099,500,0,200,999999,20
94100,0,0,514,171,214
94101,0,0,428,85,25
94102,85,0,999999,40,0
94103,514,42,75,50,25
94104,642,0,1285,428,171
94105,428,100,100,200,0
94106,300,0,70,150,25
94107,300,0,0,100,20
94108,85,0,34,64,0
94109,300,0,300,0,25
94110,514,0,128,130,0
94111,500,100,100,0,0
94112,900,0,500,200,80
94113,857,0,200,150,50
94114,200,100,300,70,120
94115,440,100,100,20,25
94116,857,321,56,85,42
94117,0,0,560,0,90
94118,600,100,200,100,0
94119,375,30,50,25,30
94120,500,0,0,20,0
94121,1000,0,0,60,0
94122,300,0,0,200,0
94123,NA,NA,NA,NA,NA
94124,514,0,728,557,0
94125,428,0,107,60,0
94126,150,0,0,107,107
94127,857,0,1285,150,60
94128,300,0,50,100,0
94129,600,0,128,100,20
94130,200,30,100,0,30
94131,350,0,350,100,150
94132,1000,0,400,250,200
94133,771,0,257,250,0
94134,700,150,300,100,0
94135,500,0,200,100,0
94136,600,0,0,150,0
94137,900,80,0,170,0
94138,400,0,20,20,0
94139,214,0,42,42,0
94140,300,0,170,0,50
94141,400,85,0,200,0
94142,400,100,50,200,50
94143,300,214,857,128,0
94144,600,200,250,200,0
94145,500,0,0,200,0
94146,300,0,30,20,0
94147,NA,NA,NA,NA,NA
94148,857,0,342,428,0
94149,200,100,300,70,120
94150,100,0,20,60,0
94151,200,100,50,400,0
94152,400,0,0,0,80
94153,625,150,50,40,40
94154,250,50,0,50,0
94155,600,0,75,600,400
94156,200,30,0,40,0
94157,500,30,100,200,0
94158,999999,999999,999999,999999,999999
94159,0,0,600,214,0
94160,500,0,0,200,0
94161,214,0,214,0,0
94162,428,0,200,214,0
94163,500,0,0,200,0
94164,300,0,100,50,0
94165,350,0,200,150,40
94166,150,0,0,300,100
94167,600,25,50,100,100
94168,168,0,0,999999,999999
94169,700,0,100,1000,250
94170,NA,NA,NA,NA,NA
94171,0,0,250,0,0
94172,400,150,700,100,0
94173,342,171,171,128,42
94174,1285,214,0,0,0
94175,150,0,0,20,0
94176,200,80,40,75,0
94177,128,0,0,0,999999
94178,500,0,100,400,100
94179,200,0,20,6,0
94180,500,0,0,650,0
94181,857,0,1285,150,60
94182,0,0,0,150,0
94183,400,60,50,200,0
94184,1714,150,0,428,428
94185,999999,999999,999999,999999,0
94186,800,200,0,132,10
94187,857,0,300,400,428
94188,200,0,0,0,30
94189,350,0,200,50,30
94190,500,0,100,150,0
94191,400,0,0,257,40
94192,428,85,300,300,0
94193,300,0,100,50,0
94194,300,0,25,100,0
94195,300,50,100,75,40
94196,1071,0,0,30,10
94197,450,80,20,30,0
94198,428,214,270,100,0
94199,350,0,0,0,0
94200,471,0,50,120,0
94201,NA,NA,NA,NA,NA
94202,857,0,51,300,0
94203,214,0,300,30,0
94204,535,128,0,600,0
94205,600,100,0,999999,0
94206,100,0,400,300,0
94207,200,0,0,30,0
94208,300,0,300,100,0
94209,1000,200,300,400,75
94210,100,0,0,0,0
94211,150,0,10,150,0
94212,600,100,300,500,200
94213,150,15,0,40,0
94214,600,150,0,999999,0
94215,350,50,50,200,10
94216,250,20,250,85,42
94217,1500,0,300,800,20
94218,857,0,0,214,0
94219,300,257,0,200,0
94220,750,0,185,57,28
94221,0,0,400,0,0
94222,800,0,0,200,100
94223,400,0,10,100,0
94224,150,0,300,171,999999
94225,600,100,0,100,100
94226,200,30,20,30,10
94227,200,0,0,0,0
94228,30,0,100,200,100
94229,999999,999999,428,30,0
94230,840,0,0,100,0
94231,100,0,75,60,40
94232,600,50,0,500,0
94233,300,0,0,100,0
94234,642,0,128,214,200
94235,100,0,0,0,0
94236,384,50,15,87,0
94237,600,0,0,1000,0
94238,300,0,150,100,0
94239,50,0,25,0,0
94240,650,100,250,100,100
94241,500,100,0,300,50
94242,642,30,20,15,50
94243,400,80,0,40,0
94244,176,35,0,20,15
94245,250,75,100,300,100
94246,214,0,214,100,0
94247,450,100,0,120,0
94248,300,0,100,60,0
94249,300,50,50,75,0
94250,400,0,10,200,0
94251,0,0,471,25,0
94252,642,214,214,0,171
94253,300,0,0,24,8
94254,1000,0,0,800,60
94255,800,0,300,999999,0
94256,40,15,10,10,0
94257,800,0,350,250,0
94258,456,150,15,45,0
94259,200,50,40,30,0
94260,230,0,175,999999,0
94261,200,0,100,50,0
94262,300,0,65,128,64
94263,300,100,200,100,200
94264,450,50,150,200,0
94265,600,0,100,0,0
94266,600,50,100,100,50
94267,500,20,100,400,0
94268,450,0,150,100,128
94269,600,0,0,0,0
94270,642,0,100,428,128
94271,300,0,20,100,60
94272,500,0,0,100,107
94273,NA,NA,NA,NA,NA
94274,857,0,400,500,50
94275,500,0,0,200,0
94276,300,75,0,200,100
94277,642,0,0,214,0
94278,NA,NA,NA,NA,NA
94279,600,0,300,50,0
94280,625,150,50,40,40
94281,650,0,0,0,0
94282,710,0,0,128,0
94283,60,0,0,60,12
94284,200,0,0,100,0
94285,585,0,200,60,50
94286,300,0,0,40,0
94287,857,0,400,428,60
94288,600,0,0,100,0
94289,450,75,125,50,0
94290,1071,0,642,428,400
94291,150,0,300,428,20
94292,600,150,300,300,0
94293,1000,300,0,500,0
94294,857,0,999999,999999,999999
94295,300,40,500,75,30
94296,0,0,100,50,0
94297,NA,NA,NA,NA,NA
94298,250,0,20,50,0
94299,200,0,400,250,20
94300,625,125,100,42,0
94301,600,0,85,128,40
94302,857,0,1285,150,60
94303,500,150,171,0,0
94304,428,0,1285,64,0
94305,800,300,200,214,85
94306,300,100,50,428,128
94307,500,200,150,80,0
94308,1100,200,100,250,0
94309,1000,0,400,100,0
94310,428,0,60,300,0
94311,200,0,0,40,0
94312,800,85,0,0,30
94313,400,100,300,0,30
94314,428,0,100,0,0
94315,685,0,130,0,70
94316,150,15,0,40,0
94317,600,25,50,100,100
94318,500,100,100,150,30
94319,1000,200,200,500,0
94320,550,0,20,50,0
94321,150,0,15,0,0
94322,214,0,0,150,100
94323,500,0,500,500,200
94324,350,0,257,100,0
94325,150,50,0,0,10
94326,500,100,100,400,0
94327,35,0,115,50,0
94328,250,0,50,514,250
94329,800,0,200,300,0
94330,450,50,0,60,0
94331,1000,0,100,37,0
94332,642,200,0,300,428
94333,600,0,0,300,0
94334,250,0,0,0,0
94335,500,0,428,300,0
94336,400,55,0,30,0
94337,900,200,300,300,0
94338,600,100,0,857,14
94339,250,50,60,100,0
94340,1714,85,50,75,0
94341,857,0,214,171,42
94342,200,45,20,65,0
94343,200,NA,200,150,0
94344,300,85,150,428,0
94345,0,0,160,257,0
94346,175,0,175,75,25
94347,700,0,0,56,0
94348,300,0,100,100,20
94349,728,60,428,214,30
94350,1071,0,214,200,200
94351,857,171,214,350,0
94352,450,15,20,60,0
94353,428,0,42,42,0
94354,535,0,300,500,0
94355,642,0,0,150,0
94356,200,50,0,20,0
94357,625,150,50,40,40
94358,200,0,20,50,12
94359,100,0,300,0,0
94360,150,0,50,30,0
94361,1000,0,500,50,0
94362,500,20,40,150,30
94363,21,0,5,0,0
94364,500,0,0,100,0
94365,900,0,0,25,0
94366,240,0,0,171,0
94367,500,40,30,999999,60
94368,150,0,200,300,80
94369,300,0,400,200,40
94370,100,0,128,80,0
94371,300,0,128,150,0
94372,300,50,0,50,20
94373,250,50,80,0,0
94374,200,0,0,0,0
94375,250,0,100,350,0
94376,857,0,171,214,40
94377,128,0,85,85,0
94378,400,0,100,428,171
94379,700,0,200,50,0
94380,100,40,0,0,0
94381,120,30,50,10,0
94382,300,100,50,0,0
94383,600,0,171,642,0
94384,300,200,100,150,0
94385,400,0,100,50,50
94386,100,0,250,75,0
94387,250,100,50,100,40
94388,350,0,100,100,0
94389,400,100,0,10,0
94390,100,0,40,20,0
94391,300,0,250,250,200
94392,200,30,60,0,35
94393,342,0,520,300,110
94394,500,100,0,128,40
94395,500,150,20,40,0
94396,200,0,50,100,0
94397,200,0,999999,999999,10
94398,675,0,0,50,50
94399,700,200,100,400,80
94400,40,15,10,10,0
94401,300,0,0,100,50
94402,400,0,50,300,0
94403,250,0,250,100,0
94404,200,80,150,80,0
94405,280,0,50,20,0
94406,500,75,250,0,45
94407,257,30,42,35,0
94408,428,428,428,48,0
94409,350,0,150,250,150
94410,200,6,0,0,0
94411,150,0,450,70,25
94412,342,0,171,0,257
94413,400,100,100,200,50
94414,560,0,130,50,20
94415,0,0,1714,0,0
94416,0,0,100,50,0
94417,700,0,0,40,0
94418,450,25,200,150,0
94419,300,0,0,0,0
94420,100,0,0,85,0
94421,600,100,200,100,20
94422,500,0,9,90,0
94423,1285,0,857,999999,0
94424,NA,NA,NA,NA,NA
94425,200,50,400,100,50
94426,600,100,0,0,0
94427,0,0,1000,200,0
94428,0,0,128,0,0
94429,300,0,50,150,0
94430,150,0,450,70,25
94431,500,100,300,140,0
94432,0,0,300,225,0
94433,200,0,100,150,20
94434,857,0,428,257,0
94435,400,0,30,171,100
94436,428,42,85,100,40
94437,428,0,64,0,40
94438,257,0,42,85,42
94439,500,0,0,50,0
94440,200,0,30,50,20
94441,600,100,0,857,14
94442,400,300,0,150,300
94443,400,0,400,428,60
94444,300,0,100,50,0
94445,300,0,100,200,0
94446,1100,0,0,857,0
94447,800,0,214,100,25
94448,300,50,100,75,40
94449,200,40,200,20,0
94450,1000,120,60,999999,999999
94451,40,15,10,10,0
94452,100,0,1200,100,0
94453,100,0,0,42,0
94454,535,64,85,128,85
94455,400,40,0,150,20
94456,300,60,100,20,0
94457,857,0,214,428,0
94458,1500,0,300,800,20
94459,175,15,60,15,0
94460,200,0,150,125,40
94461,150,30,25,50,20
94462,1000,0,200,250,60
94463,600,175,42,171,0
94464,250,75,0,1000,0
94465,642,0,171,900,150
94466,400,0,0,1000,300
94467,200,50,200,0,0
94468,350,0,100,50,70
94469,642,85,0,400,0
94470,100,0,0,10,0
94471,999999,999999,0,0,0
94472,100,0,500,40,180
94473,500,50,80,200,10
94474,600,80,25,10,35
94475,1285,0,300,100,60
94476,857,0,0,214,0
94477,600,0,300,100,50
94478,140,0,50,60,0
94479,150,0,30,30,0
94480,1714,0,0,0,0
94481,50,0,200,70,60
94482,NA,NA,NA,NA,NA
94483,1714,428,0,500,0
94484,100,0,25,70,0
94485,150,0,200,200,20
94486,130,0,20,0,0
94487,100,20,150,107,150
94488,600,0,120,30,0
94489,500,100,0,150,0
94490,60,0,500,12,0
94491,740,0,100,0,0
94492,1500,300,0,100,0
94493,257,0,257,150,0
94494,800,85,0,0,30
94495,400,75,200,300,150
94496,650,0,0,100,0
94497,200,0,20,20,0
94498,300,0,30,340,70
94499,1000,500,200,300,0
94500,42,0,30,20,0
94501,500,0,150,100,0
94502,500,0,0,300,50
94503,200,0,75,45,107
94504,400,0,0,100,0
94505,500,100,20,0,11
94506,600,0,428,0,0
94507,300,214,857,128,0
94508,900,80,0,170,0
94509,150,2,20,0,120
94510,428,75,257,150,200
94511,260,0,30,10,0
94512,220,100,1071,428,0
94513,600,0,100,300,100
94514,NA,NA,NA,NA,NA
94515,180,0,42,36,0
94516,0,0,0,25,0
94517,999999,999999,999999,200,0
94518,700,0,0,25,0
94519,400,0,300,200,0
94520,857,0,342,428,0
94521,150,0,100,171,42
94522,557,0,0,0,30
94523,300,0,200,20,0
94524,NA,NA,NA,NA,NA
94525,200,22,10,50,0
94526,700,0,100,100,50
94527,642,0,428,257,0
94528,0,0,900,160,0
94529,642,0,200,0,40
94530,400,20,20,100,0
94531,428,0,257,300,40
94532,642,128,40,40,0
94533,100,0,40,50,10
94534,300,7,10,40,0
94535,500,0,0,400,0
94536,180,0,30,30,20
94537,0,0,630,0,0
94538,200,0,0,300,0
94539,1000,300,0,40,0
94540,300,0,0,0,200
94541,200,60,0,10,0
94542,200,0,30,100,20
94543,428,85,0,50,150
94544,400,0,0,400,0
94545,NA,NA,NA,NA,NA
94546,150,107,50,250,50
94547,214,85,0,6,0
94548,500,0,75,500,150
94549,500,100,0,30,0
94550,514,0,0,171,0
94551,NA,NA,NA,NA,NA
94552,275,50,125,50,0
94553,270,25,100,125,0
94554,200,0,300,0,150
94555,857,428,257,257,214
94556,800,0,0,200,0
94557,350,0,128,75,60
94558,999999,999999,15,0,0
94559,500,0,300,214,214
94560,450,100,0,120,0
94561,0,0,1200,700,150
94562,50,0,200,107,0
94563,800,0,0,400,0
94564,600,0,200,150,0
94565,1821,186,130,44,0
94566,NA,NA,NA,NA,NA
94567,800,0,200,300,0
94568,400,0,0,0,0
94569,0,0,857,85,0
94570,452,50,0,70,0
94571,250,0,250,642,0
94572,500,50,0,45,20
94573,800,0,0,999999,999999
94574,450,0,100,150,50
94575,NA,NA,NA,NA,NA
94576,300,0,100,40,128
94577,1285,85,428,321,0
94578,280,30,50,100,0
94579,200,50,50,30,20
94580,350,0,50,25,25
94581,171,150,0,600,0
94582,400,100,0,40,0
94583,100,20,50,0,0
94584,857,107,42,342,100
94585,514,85,0,128,0
94586,500,0,40,300,30
94587,500,150,0,300,25
94588,400,100,0,10,0
94589,450,75,20,100,20
94590,300,0,90,40,35
94591,700,0,330,80,0
94592,500,100,0,50,25
94593,300,0,0,0,40
94594,505,65,20,100,50
94595,200,0,50,150,15
94596,500,150,0,300,25
94597,0,0,1000,0,29
94598,535,64,20,250,0
94599,800,200,100,120,20
94600,200,25,0,35,0
94601,500,150,150,400,100
94602,200,25,50,51,0
94603,400,40,40,200,40
94604,200,0,400,50,10
94605,300,42,20,80,20
94606,428,0,0,100,50
94607,200,30,300,400,0
94608,350,50,100,200,50
94609,500,0,500,200,200
94610,642,214,300,700,0
94611,642,0,100,428,128
94612,800,200,100,100,0
94613,550,0,50,200,0
94614,150,15,50,0,0
94615,700,100,0,1071,0
94616,214,0,0,85,0
94617,500,100,500,20,0
94618,200,0,0,0,65
94619,999999,999999,999999,100,50
94620,1200,300,50,100,60
94621,428,0,1285,64,0
94622,500,0,40,100,0
94623,800,100,125,125,0
94624,600,100,200,100,20
94625,150,30,50,999999,999999
94626,1200,0,200,130,200
94627,800,150,0,100,50
94628,200,0,171,42,42
94629,350,75,0,150,50
94630,500,0,100,50,0
94631,800,0,200,300,0
94632,80,0,0,75,0
94633,100,0,50,400,0
94634,120,35,0,42,0
94635,800,0,128,171,0
94636,550,128,85,171,0
94637,514,128,128,0,171
94638,535,0,0,100,30
94639,400,50,0,428,0
94640,300,0,200,300,0
94641,NA,NA,NA,NA,NA
94642,600,0,40,200,60
94643,1100,0,260,120,0
94644,25,0,0,20,5
94645,450,128,0,171,0
94646,300,0,40,0,100
94647,428,0,1285,64,0
94648,500,50,500,1000,30
94649,100,20,50,230,0
94650,999999,999999,0,85,0
94651,500,100,150,0,60
94652,428,42,64,999999,85
94653,150,0,450,100,0
94654,300,200,300,300,20
94655,857,128,0,514,0
94656,600,15,80,200,0
94657,500,0,0,60,0
94658,800,0,0,0,0
94659,1000,0,0,40,0
94660,500,0,300,214,214
94661,500,100,0,150,0
94662,342,0,342,40,0
94663,400,75,200,300,150
94664,500,0,0,200,0
94665,200,0,214,0,0
94666,0,0,300,150,0
94667,642,0,428,642,171
94668,500,0,0,200,0
94669,1200,0,0,500,200
94670,200,128,0,50,0
94671,200,30,100,200,60
94672,200,0,300,300,0
94673,NA,NA,NA,NA,NA
94674,150,25,0,200,20
94675,642,0,0,30,0
94676,200,0,150,125,40
94677,650,0,100,150,150
94678,600,200,0,450,0
94679,500,150,0,150,20
94680,500,100,0,150,80
94681,250,20,0,0,0
94682,500,0,100,100,0
94683,428,0,42,120,25
94684,400,0,75,50,0
94685,400,0,171,30,30
94686,400,50,100,1071,0
94687,400,0,200,300,0
94688,500,50,150,900,50
94689,350,0,150,250,150
94690,100,0,200,50,100
94691,428,50,0,0,48
94692,800,300,0,500,0
94693,120,0,50,0,0
94694,NA,NA,NA,NA,NA
94695,500,0,100,400,100
94696,500,0,200,214,0
94697,300,10,50,70,0
94698,150,21,30,40,0
94699,600,0,50,342,80
94700,500,0,500,200,100
94701,505,65,20,100,50
94702,0,0,300,150,0
94703,500,100,300,140,0
94704,100,35,0,35,0
94705,50,0,150,1600,0
94706,1285,0,857,214,0
94707,150,15,999999,85,25
94708,200,0,180,200,75
94709,500,0,0,200,0
94710,75,40,30,0,0
94711,800,50,200,80,40
94712,400,40,0,200,0
94713,300,0,60,20,0
94714,300,0,0,200,40
94715,300,0,400,200,100
94716,214,0,0,257,0
94717,350,0,200,50,30
94718,150,30,0,35,10
94719,257,0,214,171,0
94720,0,0,300,150,60
94721,250,100,100,120,50
94722,250,0,20,30,20
94723,300,64,30,200,30
94724,321,0,50,75,0
94725,NA,NA,NA,NA,NA
94726,800,171,200,600,100
94727,600,0,100,214,40
94728,600,0,300,50,0
94729,500,40,30,999999,60
94730,120,0,265,40,0
94731,600,40,200,150,0
94732,150,0,0,80,0
94733,240,0,0,60,60
94734,600,0,200,120,0
94735,500,200,0,200,0
94736,857,428,0,100,0
94737,600,0,128,100,20
94738,400,50,100,50,30
94739,428,21,107,150,0
94740,300,150,100,200,100
94741,300,0,400,200,40
94742,800,100,500,0,0
94743,200,0,50,50,0
94744,1200,30,0,200,0
94745,700,150,40,80,0
