"seqn","cbd071","cbd091","cbd111","cbd121","cbd131"
93703,100,0,400,200,30
93704,900,30,0,50,25
93705,100,0,0,75,107
93706,NA,NA,NA,NA,NA
93707,2142,200,60,200,100
93708,400,100,80,0,0
93709,240,40,20,40,0
93710,200,50,20,20,20
93711,800,250,0,857,0
93712,300,0,642,257,0
93713,500,0,0,40,0
93714,120,0,200,257,60
93715,700,100,0,400,0
93716,250,0,0,0,75
93717,0,0,0,0,0
93718,300,0,400,200,40
93719,1000,0,128,107,0
93720,500,100,0,100,0
93721,70,40,0,0,0
93722,200,0,0,20,0
93723,400,60,75,45,0
93724,999999,999999,300,0,0
93725,600,120,40,200,300
93726,642,171,85,0,0
93727,200,0,100,0,0
93728,300,40,150,400,0
93729,200,50,600,25,40
93730,342,0,0,85,0
93731,428,100,100,200,0
93732,150,42,0,30,0
93733,642,0,0,150,0
93734,800,150,50,75,0
93735,857,0,85,171,0
93736,100,999999,250,999999,999999
93737,0,0,200,100,40
93738,642,0,642,857,128
93739,600,214,128,140,0
93740,0,0,187,0,0
93741,1500,0,500,200,0
93742,42,10,0,64,15
93743,214,0,257,642,85
93744,428,0,85,214,0
93745,150,0,650,0,0
93746,342,64,20,150,50
93747,0,0,630,0,0
93748,600,0,100,50,0
93749,1000,0,300,40,0
93750,857,0,428,771,0
93751,450,100,150,60,40
93752,400,0,0,40,0
93753,428,21,171,707,0
93754,128,0,200,40,257
93755,130,30,60,107,40
93756,NA,NA,NA,NA,NA
93757,100,0,100,40,0
93758,224,0,0,0,30
93759,1500,214,171,200,0
93760,NA,NA,NA,NA,NA
93761,450,0,200,0,0
93762,200,0,300,0,15
93763,642,107,107,428,0
93764,450,65,0,25,0
93765,964,0,0,85,0
93766,300,0,250,150,0
93767,428,0,60,40,0
93768,200,40,42,150,0
93769,800,214,0,200,0
93770,250,50,64,30,0
93771,600,0,400,0,0
93772,89,0,0,0,0
93773,300,50,15,257,0
93774,400,0,300,200,0
93775,300,0,100,40,20
93776,300,0,400,200,40
93777,250,0,0,60,0
93778,428,0,300,200,30
93779,1071,0,642,428,400
93780,857,107,42,342,100
93781,999999,999999,200,999999,999999
93782,400,0,0,42,42
93783,428,0,574,65,0
93784,200,20,0,0,0
93785,75,0,0,100,0
93786,253,0,100,100,30
93787,900,0,0,25,0
93788,240,0,0,0,0
93789,250,100,0,214,0
93790,857,0,0,171,0
93791,642,107,300,214,0
93792,0,0,0,0,0
93793,1285,0,0,0,0
93794,200,0,100,100,50
93795,200,40,100,50,20
93796,171,34,0,38,0
93797,500,100,15,214,85
93798,NA,NA,NA,NA,NA
93799,300,50,100,0,0
93800,125,15,20,68,0
93801,1285,100,0,999999,0
93802,257,0,128,0,51
93803,330,0,0,70,0
93804,428,0,50,0,0
93805,100,0,100,900,0
93806,350,0,100,100,50
93807,600,100,100,300,0
93808,500,150,0,300,25
93809,250,0,50,60,30
93810,NA,NA,NA,NA,NA
93811,428,85,42,214,214
93812,500,100,0,400,0
93813,500,200,400,999999,100
93814,642,0,514,342,85
93815,120,0,100,0,0
93816,642,128,428,214,128
93817,642,214,300,700,0
93818,800,0,300,999999,0
93819,350,0,0,85,167
93820,600,0,0,428,214
93821,600,0,1000,400,128
93822,428,0,257,300,40
93823,200,40,25,150,20
93824,NA,NA,NA,NA,NA
93825,250,0,200,200,0
93826,475,50,225,50,0
93827,NA,NA,NA,NA,NA
93828,0,0,400,60,0
93829,400,0,200,80,50
93830,350,0,150,250,60
93831,171,107,85,30,20
93832,342,0,200,200,0
93833,500,150,0,100,0
93834,300,0,300,0,25
93835,NA,NA,NA,NA,NA
93836,500,0,100,100,100
93837,240,0,0,60,60
93838,NA,NA,NA,NA,NA
93839,NA,NA,NA,NA,NA
93840,400,0,0,100,0
93841,700,0,100,75,25
93842,200,50,30,42,20
93843,857,50,321,171,128
93844,500,0,20,20,0
93845,1714,150,0,428,428
93846,250,0,85,100,50
93847,400,40,20,171,0
93848,80,0,214,40,0
93849,600,0,250,1000,0
93850,900,80,0,170,0
93851,289,50,0,70,20
93852,200,0,70,300,70
93853,400,50,0,100,0
93854,150,0,0,150,0
93855,999999,999999,0,0,0
93856,350,0,150,150,30
93857,500,0,200,214,0
93858,150,0,122,0,40
93859,428,0,150,300,85
93860,NA,NA,NA,NA,NA
93861,300,0,75,35,28
93862,800,0,257,642,171
93863,200,0,600,0,0
93864,492,0,514,0,0
93865,500,0,0,400,100
93866,999999,999999,0,999999,999999
93867,500,0,500,200,100
93868,400,0,100,342,0
93869,999999,999999,0,150,50
93870,800,0,100,200,75
